ENTITY1	ENTITY2	PROBABILITY	LABEL
chris_bentley	spokesman	1.0	1
ahmed_rashid	journalist	0.9999999999999893	1
bryan_baldwin	spokesman	0.9999999999998116	1
steve_mcpherson	president	0.9999999999990868	1
girija_prasad_koirala	prime_minister	0.9999999999989212	1
hugo_chavez	president	0.999999999998921	1
dee_dee_myers	secretary	0.99999999999413	1
shah_abdul_aziz	lawmaker	0.9999999999935376	1
douglas_flint	director	0.9999999999736358	1
ayatollah_ali_khamenei	leader	0.9999999998365304	1
ahmad_qattan	representative	0.9999999998163218	1
bill_mcallister	spokesman	0.9999999997444856	1
cathleen_p._black	executive	0.9999999995191883	1
her	actress	0.9999999994993901	1
his	leader	0.9999999984397375	1
johnny_knoxville	star	0.9999999980181395	1
he	supervisor	0.9999999972205	1
keli_mcgregor	president	0.9999999968100793	1
julian_bond	chairman	0.9999999934051631	1
he	chairman	0.9999999923892352	1
ahmed_rashid	author	0.999999986845508	1
nir_rosen	journalist	0.9999999853461062	1
david_gregory	host	0.9999999434974662	1
mia_farrow	actress	0.9999998796844362	1
mohammed_sayed_tantawi	cleric	0.9999998552065669	1
raul_castro	president	0.9999997845502921	1
he	leader	0.9999997753498104	1
sheila_dixon	mayor	0.9999997378724004	1
benoit_mandelbrot	mathematician	0.9999996483459236	1
adam_gadahn	spokesman	0.9999996394168389	1
sills	general_director	0.999999617078125	1
he	ambassador	0.9999994719793232	1
patricia_neal	actress	0.9999990227353218	1
marcel_ospel	chairman	0.9999989738729755	1
he	captain	0.9999987534664707	1
he	vice_director	0.999998698991725	1
merce_cunningham	choreographer	0.9999985872270113	1
marc_bolland	executive	0.9999985347345463	1
hashim_ahmad_al-tai	minister	0.9999985298976676	1
douglas_flint	chairman	0.999998246294094	1
he	director	0.9999982273315295	1
simon_cowell	judge	0.9999981094913232	1
philip_chen	executive	0.9999963059047731	1
carolyn_maloney	rep.	0.9999962590326759	1
jo_ann_davis	rep.	0.9999962590326759	1
g._gary_kirchner	coroner	0.9999962590326759	1
christopher_bentley	spokesman	0.9999953674856196	1
hawkins	legislator	0.9999951	1
chen_zhu	minister	0.9999940097653883	1
george_young	general_manager	0.9999929807682979	1
hwang	secretary	0.99999285	1
charles_ble_goude	minister	0.9999922513847688	1
blake_edwards	director	0.9999881036038126	1
paul_watson	captain	0.9999881036038126	1
maria_kaczynska	lady	0.9999874234214691	1
george_young	lawmaker	0.9999867337995659	1
chavez	lieutenant_colonel	0.9999845	1
her	mayor	0.9999807797427759	1
huber	deputy_leader	0.9999789	1
abu_zubaydah	forger	0.9999782	1
he	pilot	0.9999781943985288	1
waldheim	chief	0.9999759	1
she	author	0.9999696167397	1
yoadimnadji	agricultural_minister	0.9999665	1
he	student	0.9999644655915556	1
she	typist	0.9999622	1
his	tool-maker	0.9999567	1
mathieu_montcourt	tennis_player	0.9999544606180826	1
